source,target,edge
5 Complementary V,2003 Roadway Express,From
1980  1984,MO crypt sauce,Emigres
1945 Zduńska He,professional  Łódź,graduated from
17  VII,1992 Zduńska Wola,stopped during
nearest life which,nearest life family,Isolation in
Grade  Clerent,2000 Sołtys Suchoczach,Secretary of
1980,KW MO crypt sauce,Controlled
1927 Jan He,electric Zduńska Łódź,graduated from
17 years IV,Mazovian Zduńska Wola,In
graduation).1982  organizer,Tygodnik Mazowsze,presses in
1981  1982,1989 EC Krypt,Grandpa
1979  1981,Independent Letter Independent Department,Committee with
1981  Interned,branch.1988 1989 Łódź branch.1988 USA,Jesuits
1981  1982,1985 SOR KRPT.Club,WiSW as
he,false press information,prepared
1981 retreat he,creative o. Łódź,interned
Author,numerous popularizing magazines,includingIn
1972,so outgoIII-1 crypt,Alma
Józef Michał Janowski,journalistic Warsaw Warsaw,graduate of
false Provincial that,1976 enterprise fidgets,Energetic in
15  XII,independent Christian Social Movement,stopped several
1964  1965,SOR KW crypt,employees
II 1947 II He,correspondence High Łódź,completed
7 Commission he,national government councils,directed
17 Clinic Polska XI1982,Clinic Polska Warsaw,released
owner,building materials,selling
Polish New law,"back"".1984 1989 Helsinki Committee",released.30
1957,Mo SOS KE KRPT.Proxy,Committee with
1981 18 Signatory,1981 writom independent students,Agreement;IV
1985 Higher Co,economic self employment Łódź,activity in
He,Golden Merit,awarded
1981  1985,K Sor Krypt,Family
he,Sanitary Installation Permissions,obtained
electrical EMA ELESER,electrical Wytwórni Wytwórne apparatus,ON
1982 Supreme Court,illegal August offenses,accused of
Lodz land Lodz he,economic Ema cadada,COMMUNITIES
Sor Brethren;1984,III SOR crypt,Strong
1943 Januariari He,Technical Technical Secondary Bialystok,graduated from
1968 Water there,1979 Piotrków Trybunalski,Inspector in
Equipment COMMISSION COMMISSION,1981 W. Piotrkowski ZR,From
working  DLP,independent Piotrków scouting,conducted
IX 17 IX XI,KW MO EC Krypt,Meliorant
harder  grade,lower  position,restored to
1992 Mayor Opoczna,economic  2014,retired
SOS Leski;1984 1986,there Sor Krypt,Construction
14  1952,BBC school,After
Piotrkowski.14 Press XII,private Piotrków Trybunalski,Participant of
1985 7 Investigation,beef reef residence,called on
1987  She,Teacher CA DYR.Polish Oslo,Norwegian
1976  1981,Chairman Professional Nieznieżek,Committee with
17 V 1977,professional Committee Civic nyes,Advocuticals of
Lucyna Łysio,1931 Higher Pedagogical Łódź,graduate of
guilty District proceedings,permanent  employment,difficulties with
1982  1984,SOR KRPT.Dewota SOR bonus,Rusw in
1951 Wola He,Second High Kutno,graduated from
few aid revisisations,1991 Taxi 2012,retired
1981  1985,Płock EC KRPT.Lion,WUSW in
1927 Piotrków graduate,Higher Pedagogical Krakow,Germanian
1943  1945,forced  robots,exported to
initiator,1981 Piotrków Trybunalski,Piotrkowski
1981  Isolation,Sieradz,released
1981  1985,Piotrków crypt,Delegation
Jacek,1956 Artistic Education,swaying
1977  participant,1981 Social Services Bełchatów,District of
10  VII,1981 hunger transparents,Solidarność
1983 28 II,pastoral Virgin Bełchatów,participant in
1960 Andrzej Antoni He,graduate Paweł Płock,Włodkowice in
"underground Underground Gazeta"";1987 1989",Historical Commission,Council
founder,Municipal Stefan Kutno,Żeromski in
1982  1989,K Sor Krypt,Lawyer
1958 Grzegorz He,vocational  Kutno,graduated from
1984  1985,crypt sauce,Accession
1968  1970,brown Branch retirement,plants
1981 Piotrków XII,1981 Piotrków Trybunalski,Delegated to
A. Solidarność,A. subtitles,painted on
1982  1988,there crypt sauce,Group
there zm.2 He,high Zduńska Wola,graduated from high
1983  investigation,amnesty,discontinued by
21  1982,November,released
1982,there EC Krypt,II
Stefan Rudzki,mechanical born3 Wałbrzych,graduated from
departmental Adolf Warski,Filial Zakłady Mechaniczne Sieradz,plant in
2 detention V,USA,From
1980  1984,Mo crypt sauce,Emigres
III 1968 UŁ July,political Border Control Poland,stopped at
16 removal VI,removal Łęczyca,released
1974–1982,FacultyIII SOR crypt,Żaczek
He,Freedom,awarded
1982,1987–1989 Mr. III EC,Developed by WatchIII
1923 d.2013 He,J. Warsaw,Rabanowski in
informal Kutno group,Polish Self Community Movement,Lipski
1981 voivodeshipPiotrkowski.29 -organizer,1990–1991 Investment Directive,arrested
1980  1985,there SOR KRPT.Optimists,Rusw in
political documentary production,11th Freedom Justice independence,signatory of
1990 Mazowsze He,underground  activities,represented
1981  1982,KW MO Sor Krypt,Extreme
I,Freedom,awarded
Konrad Witold Tatarowski,leavePhilological Philology Poland,graduate of
Anna Aid,academic COMMITTEE COMMITTEE communities,Kolporter
1994 Provincial He,underground emigration Course,published in
2012 UŁ Journalism Department,Journalism,member of
Poland Cross,Polish Culture,awarded
1976  1983,1986 XI Interior,Ministry of
Jerzy Teluk,1941 Wrocław Technology,graduate of
1981  Isolation,Telux o.o . Wieluń,Telux Sp.from
1984 Jerzy Teluk,secret  cooperation,recognize
1986 crypt Editorial;1989,crypt,Senator
1979 Polish Union,Socialist Polish Youth,In
times III organizer,construction power Bełchatów,Bernardine
Founding Committee University Board UŁ,Vice Presidium National Niezniezek,Committee of
He,Freedom,awarded
1979  1988,KW MO KE KRPT.High schoolist,Developed by
1945 born11 He,factory Agricultural machinery Kutno,graduated from
12 KW VIII,interned KW Kwidzyn,released
1983,III SOR KRPT.Tower,RUSW in
1945 gnośnie k. He,armored mining Bełchatów,graduated from
1981 W Piotrkowski,Solidarity Independence Service Club,co
working  DLP,Błchatów brown coal minute,Signatory of
1989 Committee Civic Committee,80 trade LPR.From,retired
1980  1985,Solidarity SOR KRPT.Antagonist,Committee with
Teresa Anna Zalewska,1942  Lodz,graduate of
Legal Ryszard who,commercial Tomaszów retirement,retirement
2017 Semper Fidelis,Freedom,cross
Concept;1986 1989 Piece;1988 1989,III RUSW,is
1955 born31 He,technical  Łódź,graduated from electronic
he,research techniques Łódź,led
1982 Military Garrison that,1 year suspension,cause public
emigration,EC KRYPT.Primate,expired under
1947 on7 He,Polish Nicolaus Copernicus Toruń,graduated from
Krzysztof he,1981 Gazeta Olsztyn,Club of
1985  office,murdered Marcin Antonowicz,Co
Stefan He,car Olsztyn,graduated from
1981 Warmian Masurian he,private carpentry plants,Stróż to
VII,1983  parties,solved
1.5 District Released.1,degree District Executive Mazury,specialist at
1996 PBR ZR,own I business,activity
1980  1984,KRPT.Circle;1981 Sor Krypt,Dublers
underground Stanisław Suchowolca,three UKF Białystok,transmitters
1981  interned,1994 Municipal Bialystok,Author in underground
Cross,cultural  activist,awarded
III trade unions,Mo SOR KRPT.Publicists,Wusw under
Oleg Łatuszonek,1957 Jagiellonian History,graduate of
1991 Polonia Research author,1989 Belarusian Białystok,Lecturer of
founder,1997 Weekly Bialystok,lecturer at
Knight Cross,cultural  activist,awarded
1982 19 III 1982 XII,Mo EC Krypt,Contractor
new  he,Poetry Poetry Pogon,made
1975  Signatories,1980 Podkowa Leśna,participant in
Berlin A5 publishing which,wife,co
2013).His  songs,English,English
1981  Interned,legal matters;Spoiler editor,dealt with legal
i 13 i VII,1982 EC crypt,counselor
1943 Krasów She,3 School Correspondence Bialystok,graduated from
medical Andrzej 1986,college,fined by
1945  he,Communications school,revealed
1946  He,logoophagus  Krakow,co
21  VI,31 POLISH POLISH amnesty,arrested
real Catholic Intelligence organizer,well Catholic Intelligence Church,devoted to Christian
called Institute publishing inhabitants,1971.The Polish Tourist,From
1981 CH Legislative he,Catholic Intelligence Club,conducted
1984 Jasna he,committees  Krakow,supported
participant,Private law Krakow;Since,retires
Sokół,Polish Gymnastic skiing,Memories
1949 on1 He,High Zgorzelec,graduated from
2 years He,1983–1986 St. Zgorzelec,participant in
2014 Rogowiec branch office,simultaneously  PiS.,From
Bronisław Fila,1985 Higher Przemyśl,graduate of
1969 Dekanatu Jarosław West,1978 Holy Father,awarded
Signature faithful,critically communist system,spoke about
includingIn  intention,1981 Jarosławska banner,supported
arrested Władysława Władka,Christian Culture Jarosław,took
Semper Fidelis,cross,honored with
1964  he,1984  TEOK,worked
IX 1941 IX He,vocational  Jarosław,graduated from
1973  Work,1975 Kombniki Farm Tapina,ran
III 1981 III Participant,registered Government Trade Jarosław,Solidarity
1988 Jerzy he,property.1982 1988 property.1982 Stopped,informed
round Individual delegation,"S"".1992 Individual Farmers",Union of
Cross,100th Poland independence,Decorated with
1981  V,26 EC Krypt,Herbalist
annual Zambrowski pedestrian which,August Agreement,transferred to
1945 state transport X,internal Diseases Medical diseases,Institute of internal
includingBy  who,members  S,gave
1988 Zambrów Restraint,repeatedly thought.1982 revisions,stopped
1983  1988,crypt sauce,Demagogue
1979 Thought V,1980 Jan Kozłowski,signed
martial  he,trade union activities,continue
24 III 24 XII,80 SOS TW,Registered as
Ewa Bończak Kucharczyk,1950 Rural Warsaw,School of
technical ITO President,new Spatial Economy Bialystok,Grabówka near
proof publishing house,academic Academic priests,Subcommittee on
Momenisja Zakładowa ZR Białystok,instrument factory PONAR Białystok,Cywiński.29
1986 Marshal Jerzy,Parish Bielefeld Paderborn,Popiełuszko.1987
usedby  IV,operational Lithuanian KGB,performed operational
born29 He,geodetic  technician,graduated from
construction contract,S leather industry member,From
III V KW,Przemyśl SOR KRPT.Conspirator,WUSW in
2012 d.17 He,primary  school,graduated from primary
same Secretary Information,1980 Majster repair locomotive,midfielder
1982  He,Polish State Railways retirement,Until
1989 TW files,Development So S,destroyed
Rais Sokołowska,1945 State Economic Ciechanów,graduate of
1982,-calledhostile  activity,1965–1982 in
1982 Warsaw Military Aiming,othersthrough SB officers,made
Dam  He,technical  Olsztyn,graduated from
25 year VII,underground  publications,sentenced to
1983  XII,1989 EC Krypt,Electronics
Wojciech Kozioł,1953  Warsaw,graduate of
V,local opposition groups,Point of
1984  1985,crypt sauce,Inspector
2012 Zbigniew Igor He,primary  school,graduated from primary
22  V,1985 Polish State Olsztyn,Olsztyn
1981  he,there Kolejarzy Pastoral pension,From
9 21 II,1989 EC Krypt,Old
1946 Stanisław He,Mechanical Technical Olsztyn,graduated from
29  IV,1981  Iława,Isolation in
30 food industry XII,1989 Mazur Olsztyn,Worker in
1980,MO WYDZIII crypt,SPOMASZ
12 ZK V,1982 conditionally.28 USA,From
19  XII,Mo SOR KRPT.Messalina,Developed by
1982  8,1982  incl,Isolation in
1981  member,1994 Diocesan Printing Department,cutter in
1994  InterLeigator,retirement TWD 2013,retired
1952 Leszek He,Technical Secondary School,graduated from
19  V,28  VI,Isolation in
1980  1982,IV KW crypt,Agrokompleks
Wiesław Adam Stojanowski,1995 Biała Podlaska,Filia in
1982 Youth Molded 1989,times  apartments,stopped several
1989  member,1992 business Suwałki,From
1950 Andrzej He,Technical School Ibid,graduated from
1972  Employee,1980 Agricultural Production Studziane,supplies in
Several Andrzej times,several Anna Walentynowicz,stopped
1984,1986 crypt sauce,Anchor
11 Central VII,poviat liberty inSuspension,arrested
2004 Białystok head,2012 Polish Information Białystok,Since
7  IV,SOS SOR KRPT.Relationship,WiSW
martial Internified Aid he,conspirative Southeast Region,withdrew from
1953  monument,local work team,participant in
13  XII,there Waldemar Kruszewski,stopped
Democratic 1991–1993 He,candidate.1993–1995 Wysokie Mazowieckie,owner of
1984–1988 co -author,animal Szepietów,WOPR in
St. Stanisława Board,1989 Executive Committee,From
2006 Antoni He,vocational Vocational Training Office,graduated from
Soviet  he,5 years Amnesty,released
instructional employment 1988,machine,stored
grade trade effect,regional  authorities,Committee with
26  IX,1989 Suor Krypt,Bury
60.-70 writom trade union,Editor note Earth Zamość,Collaborator of
.,1  December,prepared at
"worker Podlasie courier"".1982 1989",repeatedly  flat,stopped
1980–31  XII,1984 FacultyThird WiSW,Fox
there zm.9 He,fundamental metal Łomża,graduated from
1981  Isolation,independent  press,participant in
Teresa Trocka,1949 Main Finance,graduate of
Private  IT,2010  retirement,services;From
VII,1989 EC crypt,Chinese
III 1948 zm.5 Sweden).He,railway Poznań,Jurkiewicz
Gentian Branch Jelenia I,1981 Free Głogów,member
1987 ventilation 1989,departmental Dolny Silesia,supported
He,Freedom,awarded
1958 Piotr He,public transport Warsaw,graduated from
III Zdzisław 1980,Sejm Polish Republic,stopped during
Historical SW Publishing IX,1988–1990 Stakademia Roliczat .,Cleaner of
III KW KW,there Sor Krypt,Bench
Stanisław Lembas,1948 Wrocław Technology,graduate of
30  IV,Senior Grade mining works,Dispatcher
2007 General Mining,KGHM PM 2007,SA
Leszek Rybak,1960 Wrocław Technology,graduate of
mining Lubin,free  Głogów,Activist of free
1977–1982  co,independent publishing house,provided
1990  1999,historic Slow Word Association,member of
Stanisław Melski,1980 Polish director,graduate of
He,2000 Distinguished Culture activist,awarded
1950 Krzysztof He,Basic Vocational those,graduated from
13  XII,Organizing Committee Organizing S,Isolation in
Own Opolskie business,2015 Construction Works Czyżowice;From,works
2013 Sławomir He,Second High School,graduated from
1986 studentAdam Mickiewicz,1990 Maciej Mazurek,editor of
1982 Warsaw VII,1989 Polish Blind Association,create
Radio Z CA Committee,directorPolish Radio program 2007,retired
Knight Cross,cultural Golden activist,awarded
IV,1983 XIII EC,II under
1957 Polska Republic Republic,1981 Democratic Warsaw,removed from
1984  editor,consultative Physical Nichment,member of
19 District Court,Supreme verdict,ordered
1945 District Home he,Casual assistantin work,arrived with
Solidarity property he,1980 Wielkopolska Kujawski Region,organizer of
1988 Bohdan Organizer,prime member minister,Insure
2006 Social Committee,Józef Poznań,Piłsudski in
29  XI,SOS KE KRPT.Gamblers,Committee At
1947 Piotrków He,graduate Piotrków Warsaw,Management
several Catholic Intelligence times,1987 Catholic Intelligence Płock,stopped
1989 trade Production,local Brzozów Stary,member of
1964 Pałska Union,Polish trade scenes,In
Organizer Founding Committee,there Catholic Intelligence,In
Free Arka ESEAY,2012–2017 Municipal Płock,From
1982  1987,KW MO Sor Krypt,Angel
1954  He,2 School Complex Płock,graduated from
