source,target,edge
1957,WatchIII AGENTUTAL REVENING CASE,Developed by WatchIII
X-23  XII,WatchIII crypt sauce,Developed by WatchIII
1981  organizer,youth group,deposited
1  XII,KW MO SOS KRPT,Developed by
1981 14 painter,professional Committee Civic nyes,II
1981  he,ID,submitted
15  XII,1981 Zabrze Zaborz,interned in
1981  February,1982 crypt sauce,worked
1989,German company Regoozini,stay
16  May,1989  p,worked by
Zbigniew Wilk,1951 Nielśiówka k,born22
Zenon Zając,1959  Wolsztyn,born12
Ryszard Bąk,1958  Wrocław,born1
organizer,strike,vice
17  XII,1982 27 health,interned
Cechnice Czesław,1938  Kołomyi,born7
1989  Physisja,underground publishing arrested,collected
Janusz Czachorowski,1950  Syców,born13
10 KW MO II,retreating KW MO center,released
Franciszek Dubarek,1945  Tarnów,born20
committee;1980 1981 committee;1980 Secretary,trade unions trade Świebodzice,Council;From
16  XII,1981 production preparation department,moved at
Wiesław Asman,1953 Nowa Będzin,born20
1980  1984,P,Developed by
1977 FSM he,individual Bolesław Śliwiński,criticized
IX 1980 chips Workplace,1980  strike,ch
13  XII,degree custody KW Katowice,stopped
following  grade,France,Vernie
1978,outz,Developed by
17  XII,1981  Masses,celebrated
1963,Teok No,Developed under
actually church aim,professional  life,was moral
He,Polcul Foundation Award,awarded
1975,SO Nszowień crypt,worked
together Antoni he,independent student resolution,carried
Author,scientific  works,approx
underground  letters,Kamieniec Ząbkowicki,depth
Zbigniew Kopczyński,1956  Chorzów,born29
1981  31,1982 Zabrze Zaborz,interned
Silesian self -education duringHelp,Committee Nszowiek Professional,organized for
He,Polonia Freedom,awarded
1980  1985,outz,Developed by
1989 Civic Committee,Solidarity Sejm elections,carried
1990  Councilor,instead communication intersections,introduced
it,carpentry workshop,runs
1979–1982,1982–1989 KW p,worked
13  XII,1981  axle,interned
1983  Development,51 Sejm POLSKA people,detained
1983,kW MO SOR KRPT,WUSW in
Wojciech Pluskiewicz,1957 Silesian Medical Zabrze,prof
1981 Jerzy he,medical  student,carried
1982–1985,Katowice KW sec,worked
1969  Tokarz,smoking Bielsko Biała,Seagull
1983–27  VIII,1984 SOR crypt,worked
contamination,departmental coordination Racibórz,From
1981  1982,V-1 KW KE,Developed by
1972 Uncustomed Worker,1981 Cooperative Foods Tamż,SPOŁA
III month 1983,6 month KARA,released
1994  Warehouse,Phs Bielsko Biała,ch
Scientific WME WME PŚ,1973 Evening manager WME,working
actually church aim,professional  life,was moral
member,martial Silesian Dąbrowski Katowice,repressed in
1980  1989,so  crypt,Developed by
1973  1986,sanitary Szczecin installations,Elektromonter in
Cross,Trade Union Solidarity,awarded
Solidarity Grzegorz he,S Solidarity Bis,cooperated with underground
1981  he,interned  families,granted
He,Polonia Freedom,awarded
EJ Edward Łakomski);He,prison officers,requested
printer,Soviet Robert barracks,painting
He,Polonia Freedom,awarded
1962 X Warehouse,1982 Automotive Mechanisms,POLMO
1980  member,Polish IX Szczecin,took
13  XII,voluntarily  TW,interned as
internal detention She,following Kolporterka process,explained
1980 Orbis hotel IX,1980 Orbis hotel chain,From
IX 1989 IX IX,renovation  Berlin,employed
1980  1984,outz,Developed by
1977  Kolporter,free opposition activities,collected
13  XII,1981  axle,interned
1979,SOR KRPT,Developed by
24  VII,starving,dismissed
X,WatchIII SOR KRPT,Developed by WatchIII
V,1958  Poland,Repatrated to
1981  he,secret KW degree,came to
1982  participant,National Nichment trade milk,After
28  XII,1976 Worker Uakademia Zw,Suspended in
1981  he,human US Poland,applied before
30 IX 1989,SOR EC KRPT,Retracted by
12th  protest,martial  work,released from
Jerzy Michał Stańczak,1940  Płock,born13
1981  he,asylum Polit,received
he,DEP,drew by
1969 A clerk,electronic facilities Mera Elwro,automated
2004  she,occasional  work,received
2004  Laboratory,Ärztliche Laborgemeinschaft Umgebung,und
Waldemar Zolotańki,1958  Trzebnica,born26
Blue Strain Fourteen,1983 General Karol Jabłonki,Wearing
public Observer he,walls,painted
He,Independent Distinguished Culture activist,awarded
1980  he,striking Marek J,supported
1980  he,S,supported
actually church aim,professional  life,was moral
2007  Cross,Region Earth Trade Union Solidarity,awarded
1980  1989,outz,Developed by
5 Complementary V,Complementary Sieradz,released
1980  1984,outz,Developed by
17  VII,9 months imprisonment,stopped during
13  XII,1981  axle,interned
Grade  Clerent,2000 Gardena Sp,plantConfectionery
1980,crypt sauce,Developed by
13  XII,1981  axle,interned
1981  1982,so WatchIIIA crypt,Mo in
1979  1981,Independent Letter Independent Department,Committee with
6 VIII XII,1982 Complementary Hunger,released
1981  1982,WYDZV KW SOS,Developed by
1981 retreat he,philosophy,interned
1972,WatchIII  WZ,Developed by
Józef Michał Janowski,1937 Antonina Nowy K,born20
1964  1965,outz,Developed by
1981  -,political Jerzy Kropiwnicki,From
1957,WYDZIII KMO M,Developed by
29  IV,heat  Łódź,detained
He,Golden Merit,awarded
1981  1985,outz,Developed by
1975,Knitting Industry Plants,employed
1981  organizer,15 Aś ibid,XII
1981  1982,Sor Krypt,Mo in
8  IX,1980 Piotrków Trybunalski,ch
2 remence IV,Sieradz remence center,released
IX 17 IX XI,1980 crypt sauce,Developed by
1992 Mayor Opoczna,economic  2014,retired
14  1952,BBC America,Arrested
1985 7 Investigation,beef reef residence,called on
1976  1981,Chairman Professional Nieznieżek,Committee with
17 V 1977,funeral Stanisław them,Stopped for
1981  organizer,interned  persons,leaflets
1982  1984,Ref,Developed by
Waldemar Łysio,1951 Wola Kutno,born22
1981  Participant,metallurgical  plants,stopped
1981  1985,outz,Developed by
Włodzimierz Mironowicz,1927 Piotrków Trybunalski,born29
1943  1945,forced  robots,exported to
1981  1985,outz,Developed by
Jacek,1956 Artistic Education,swaying
10  VII,1980  Lublin,supported in
1985  group,Fr,focused around
2 remuneration VI,remuneration Sieradz,released
1982  1989,Sieradz WYDZIII KW p,Developed by
1984  1985,p,Developed by
1968  1970,brown Branch retirement,plants
1981 Piotrków XII,1981 Piotrków Trybunalski,Delegated to
1982  1988,outz,Developed by
13  XII,1981 remuneration Sieradz,interned
1963 File Scouting Union,Polish trade scenes,PZPR
1982,crypt sauce,Developed by
2 detention V,detention Sieradz,released
1980  1984,outz,Developed by
16 removal VI,removal Łęczyca,released
1974–1982,FacultyIII SOR crypt,worked
He,Freedom,awarded
1982,1987–1989 KW Mr,Developed by WatchIII
1980  1985,Trybunalski KW P,Developed by
1981  1982,WatchIII SOR crypt,Developed by WatchIII
I,Freedom,awarded
Konrad Witold Tatarowski,1948  Łódź,born12
31 Poland VII,military Draw Polygon,In
1981  Interned,Complementary Łęczyca,released
Poland Cross,Polish Culture,awarded
1976  1983,outz,Developed by
Jerzy Teluk,1941  Wieluń,born20
28  XII,1981  axle,interned
VII,WatchIII III WZ,Registered by
1980  1981,outz,Developed by
1981  Interned,Sieradz isolation center,released
1990  ASISTANT,Łódź Education Łódź,Dygr
He,Freedom,awarded
1979  1988,WatchIII  WZ,Developed by
1981 Strike participant,interned KW Płock,embedded in
1983,WatchV KW Płock,ref
1980  1985,outz,Developed by
Teresa Anna Zalewska,1942  Opoczno,born20
1968–1976  Member,Democratic year,PZPR
2017 Semper Fidelis,Freedom,cross
1982  1985,Wydz,Developed by
he,Brodni Górna K,led
1981  Internified,remuneration Sieradz,released
1983  1988,outz,Developed by
Krzysztof he,independent Witold Gombrowicz,transported
13  XII,1981  IV,stopped in
- self government statute,instructions,From
1981 co -organizer,Warmian Masurian plant,and2
1980  1984,SOR KRPT,Developed under
1981  interned,16 iv,released
Cross,cultural  activist,awarded
1980,WatchIII crypt sauce,Developed by WatchIII
Oleg Łatuszonek,1957  Elbląg,born27
Knight Cross,cultural  activist,awarded
1982 19 III 1982 XII,Mo EC Krypt,Developed by
new  he,Poetry Poetry Pogon,made
He,1966  Poets,published
1981  Interned,isolation Białystok,released
i 13 i VII,FacultyIII crypt sauce,worked
1985 Virgin she,repressioned,Cooperation of
1946  He,logoophagus  Krakow,co
participant,Trade Unions Professional Nieznie,Club
Sokół,Polish Gymnastic Society,involved in
Jerzy Heddzel,1949 on1 Zgorzelec,born
member  he,S  activists,collected
Bronisław Fila,1922  Masuria,born7
includingIn  intention,Jarosławska banner Jarosławska S,supported
Semper Fidelis,cross,honored with
1964  he,1984  TEOK,worked
1973  Work,1975 Kombniki Farm Tapina,ran
13  XII,1981  axle,interned
round Individual delegation,round Individual table,allowed
Cross,100th Poland independence,Decorated with
1981  V,KW MO SO KRPT,Developed by
26 III 1982,1982 Longin Kierculul,released
includingBy  who,members  S,gave
13  XII,1981  axle,interned
1983  1988,crypt sauce,Developed by
martial  he,trade union activities,continue
Ewa Bończak Kucharczyk,1950 Upper Łowicz,born15
13  XII,hiding activists Saint Parish,helped in
construction contract,employment,solved
13  XII,1981  axle,interned
Rais Sokołowska,1945  Siemichoczach,born17
1982,-calledhostile  activity,1965–1982 in
Zbigniew Stanisław Baranowski,1946  Olsztyn,born20
1981  distributor,leaflets,"including""Resonance"
1983  XII,1989 EC Krypt,Developed by
Wojciech Kozioł,1953  Dębica,born19
1984  1985,crypt sauce,Developed by
1981  he,graphic artist Jacek Fedorowicz,transported
9 21 II,1989 EC Krypt,wusw in
13  XII,1981  axle,interned
30 food industry XII,8 9 imprisonment,attempt
1980,so WYDZIII crypt,WUSW in
19  XII,Mo SOR KRPT,Developed by
13  XII,1981  axle,interned
1981  member,informal Irena Resonans,printing
19  V,1982  axle,stopped during
1980  1982,outz,Developed by
Wiesław Adam Stojanowski,1950  Paczków,born15
1972  Employee,1980 Agricultural Production Studziane,supplies in
1984,crypt sauce,worked
7  IV,Operational Case Krypt,Developed by
1980  member,following Z CA,From
19  1989–1991,official  December,released
1984–1988 co -author,animal Szepietów,WOPR in
13  XII,1981  axle,interned
1981  organizer,interned  apartment,b
26  IX,1989 KP outz,Developed by
1981 15 II,III 18 anxiety,interned
1980–31  XII,FacultyIII crypt sauce,worked
13  XII,1981  axle,interned
Teresa Trocka,1949  Ełk,born
VII,Suwałki FacultyIV KW p,worked
1980  Member,30 HM Committee,strike
18  XII,provincial  year,arrested
He,Freedom,awarded
1976  Contractor,cathedral Wrocław street,resembling
27  December,1981  Ośr,interned in
8 III VI,WatchIII SOR KRPT,Developed by WatchIII
Stanisław Lembas,1948  Racibórz,born23
23  XII,1981 Dygr Secretariat,detained at
Leszek Rybak,1960  Jędrzejów,born19
1990  1999,editorial Gryf publishing Warsaw,conducted editorial
Stanisław Melski,1955 on1 Złotoryja,born
He,2000 Distinguished Culture activist,awarded
13  XII,1981  axle,interned
1981  interned,removal Warsaw Białołęka,released
1989,1989 trade Editor,Dygr
Knight Cross,cultural Golden activist,awarded
IV,1981 WatchXIII DEP,Developed by
1957 Polska Republic Republic,Reporter Economic Polityka,removed from
1984  editor,underground  magazine,weekly
1966–1989,1969 FacultyV Dep,remained in operational
29  XI,KW MO KW SOS,Developed by
13  XII,VIII Włocławek Kwidzyn,interned
Pałska 1964,Polish trade scenes,Union of
1963  Constructor,Senior Płock;1963 Changes,Tamż
29 Włocławek IV,Włocławek Protest,released
1982  1987,KW MO SOR KRPT,Developed by
Longin Aleksy Garkowski,1954  Sierpc,born15
1982 Interior VII,1982 Interior Płock,released
Knight Cross,cultural  activist,Awarded
Eliza Zofia Jadczak,1947  Mława,born26
1968  dealer,corrosion Izokor Instal,is
1982–1984  co,Unions Gdańsk Law,Socialist
Polonia Cross,cultural  activist,awarded with
1982  1985,Wydz,Developed by
20  XII,martial  law,released
16  XII,xii Włocławek Mielefin,stopped in
I,Aid St,deprived of
1970  Constructor,Gdańsk Shipyard,Monter
1981 Włocławek 24/1981,1981 Włocławek Mielefin,released
1981  1985,outz,Developed by
Tadeusz Maria Taworski,1931 Buenos Aires,born15
1960  Driver,1981 Dementant Cement MPK,cooperatives
Jacek Franciszek Tomczak,1946 Grodzisk Wielkopolski,born17
Bogusław Podborączyński,1962  Nysa,born19
called Rokita circumstances,martial  law,examined by
mate Protest 17,1981 Włocławek 29,interned
He,Polonia Restituta,awarded
1981  VII,1982  Łowicz,interned in
1989–1991  MP,martial Extraordinary law,examine
1982 ZK camp,Kwidzyn,was for
1989,former Tadeusz Godlewski,focused on
1982 AŚIn 1982,unit ministry,stopped
3  XI,21 WYDZVII DEP,Developed as
1951  he,graduate Catholic Catechetics,graduated from
15 VII 1975–7 II,SO WUSW crypt,worked
1981  VI,1982  Milve,Internified in
2012  which,Freedom,Decorated with
1981 2 1982,axle,interned in
1997 Ambassador Rzeczpospolita Polska,degree  minister,DEP
1982  editor,editorial John Doktórze,guided by
ordinary co -editor,S Mazowsze Warsaw,is
other Tomasz he,underground publishing activity,gained
1983,Wydz,Developed by
1956–1957  PRAINKANT,Przedsiębiorstwo Installations Przemysłowego,technician at
sporadically  organizer,own  guests,From
14  XII,medical KW midnight,stopped
appeal,step  Petrobudów,gave
1982  1988,outz,Developed by
1968,so WYDZIV KW crypt,Developed by
12/13  XII,1981  axle,interned in
1983,Sor Krypt,Developed by
1981  Participation,IBL Polska Mo,coincided
scientific  member,scientific American Geological Society,Author of several
military  service,1970  gate,No
1980  member,Union Ostrów Wył,From
Ostrów following,local Blessed A,duplicates in
1981  he,chaplain  S,maintained
parents,Western Provincial America,listened to Western
1983  1985,special operating group,Developed by
Piotr Antoni Jegliński,Warsaw,born26
1978 founder Editions,also  Kraków,subtitle
Officer Cross,cultural  activist,awarded
1982 region XII,1 Przedsiębiorstwo Handlowo V,transferred to
XI,so V KW crypt,Developed by
1982 Co -,Ewa Kulik,Teacher
1965–1975,FacultyIII EC Krypt,worked
underground publishing coordinator,underground  1986/1987,From
Maciej Jerzy Kublikowski,IX 1945 IX Siedlce,born19
1981  XI,1982  axle,interned in
stock exchange investor,1996 stock journalist,remained from
Legal Counsel,Grodziski,cooperative
1981–1983  co,magazines,Look at
1978,Wydz,Developed by
Sławomir Konrad Latek,1956 energy technical Warsaw,graduated from
16 17 II,martial  law,stopped for critical
1989  chief,Between 3rd Gdańsk,Delegate on
1980 co -organizer,degree)Factory Founding workplace,rendering
1975,WatchIII Sor Krypt,can in
28  VII,1982 WatchXIII DEP,Developed by
1970 Locksmith chemical apparatus,1970 plant chemistry Pollena,TARCHOMINS
Lexicon Open which,Holy Father Warsaw,Author of
1960,outz,Developed by
1981  attempt,own ground messages,contacts with
24  IX,1981  outz,Developed by
1981  organizer,all Sunday Poland,"4,000"
1974 Engineer i,1974 Engineer Zakład,m
founder Chairwoman Factory Commission,work,dismissed from
Cross,cultural  activist,awarded
Teresa Piechocka,1940 Antonewo K,born17
military  IV,pin Gostynin S,intervened on
Grade  Inspector,1994 Casual retirement,works
1982,SOR crypt,Developed by
12th  member,Works Committee,From
Aid Charity,Social St,operating in
Adam Rukat,1953  Dzierżoniów,born13
1981  he,ineffectively loyalty declaration,disclosed in
21 KW V,1982  Al,stopped in
12  VIII,6 Zielona imprisonment,imprisoned
youth priests,poorest  1990,retired
1978,Wydz,Developed by
Dariusz Cymbala,1963 Tomaszów Lubelski,born20
1981  head,Tomaszów leaflets,co
13  XII,underage student Włodawa,released
He,Polonia Restituta,awarded
6,1982 Social editor,dismissed from
1963,outz,Developed under
1950 Chauffeur midfielder,Department Electrical Poznań,Emitred
she,other District plants,dismissal from
1981 Factory Printer,Zakładowa ZR Momisa,includingwith
13  XII,1981  axle,interned
Piotr Starzyński,1950  Wrocław,born27
13  XII,1981  axle,interned
Catholic  University,Signatory Poland Republic,cooperated with
13  XII,1981  axle,interned
1994  Manager,Globe Herald USA house,publishing
1981  VI,Mo crypt sauce,Developed by
Provincial Jadwiga who,photographic anniversary masses,Assistant in
1973,first history them,Deleted from
13  XII,1981  axle,interned in
1982,activist Andrzej aunt,enabled several
harder Górnik Operator,department mining Lubin,works at
21 Main Board XII,2 year detention,detained
1977–1982,I Oława,adjutant
13  XII,1981  axle,interned
He,Polonia Restituta,awarded
1983,TW crypt,Retracted by
1987–1989,SOR crypt,worked
1983 Kolporter Underground,Grot,writing
